date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:16:02	146/146	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Sep%202020%2002:16:37%20GMT	https://demo.dashboardpack.com/robots.txt		(from )
09:16:02	169363/169363	---MCZ	200	added ('OK')	text/html	etag:W/%225e9ef304-29593%22	https://demo.dashboardpack.com/adminty-html/	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/index.html	(from )
09:16:02	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225e75315c-47e%22	https://demo.dashboardpack.com/adminty-html/files/assets/images/favicon.ico	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/files/assets/images/favicon.ico	(from https://demo.dashboardpack.com/adminty-html/)
09:16:02	159515/159515	---MCZ	200	added ('OK')	text/css	etag:W/%225e753266-26f1b%22	https://demo.dashboardpack.com/adminty-html/files/bower_components/bootstrap/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/files/bower_components/bootstrap/dist/css/bootstrap.min.css	(from https://demo.dashboardpack.com/adminty-html/)
09:16:03	12312/12312	---MCZ	200	added ('OK')	text/css	etag:W/%225e75315c-3018%22	https://demo.dashboardpack.com/adminty-html/files/assets/icon/feather/css/feather.css	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/files/assets/icon/feather/css/feather.css	(from https://demo.dashboardpack.com/adminty-html/)
09:16:04	493445/493445	---MCZ	200	added ('OK')	text/css	etag:W/%225e98b6de-78785%22	https://demo.dashboardpack.com/adminty-html/files/assets/css/style.css	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/files/assets/css/style.css	(from https://demo.dashboardpack.com/adminty-html/)
09:16:04	55301/55301	---MCZ	200	added ('OK')	text/css	etag:W/%225e75315c-d805%22	https://demo.dashboardpack.com/adminty-html/files/assets/css/jquery.mCustomScrollbar.css	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/files/assets/css/jquery.mCustomScrollbar.css	(from https://demo.dashboardpack.com/adminty-html/)
09:16:05	169363/169363	---MCZ	200	added ('OK')	text/html	etag:W/%225e9ef304-29593%22	https://demo.dashboardpack.com/adminty-html/index.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/index-2.html	(from https://demo.dashboardpack.com/adminty-html/)
09:16:05	20705/20705	---M--	200	added ('OK')	image/png	etag:%225e75315c-50e1%22	https://demo.dashboardpack.com/adminty-html/files/assets/images/logo.png	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/files/assets/images/logo.png	(from https://demo.dashboardpack.com/adminty-html/)
09:16:05	3031/3031	---M--	200	added ('OK')	image/jpeg	etag:%225e75315c-bd7%22	https://demo.dashboardpack.com/adminty-html/files/assets/images/avatar-4.jpg	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/files/assets/images/avatar-4.jpg	(from https://demo.dashboardpack.com/adminty-html/)
09:16:06	2295/2295	---M--	200	added ('OK')	image/jpeg	etag:%225e75315c-8f7%22	https://demo.dashboardpack.com/adminty-html/files/assets/images/avatar-3.jpg	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/files/assets/images/avatar-3.jpg	(from https://demo.dashboardpack.com/adminty-html/)
09:16:06	538873/538873	---MCZ	200	added ('OK')	text/html	etag:W/%225e9eb7ad-838f9%22	https://demo.dashboardpack.com/adminty-html/default/user-profile.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/default/user-profile.html	(from https://demo.dashboardpack.com/adminty-html/)
09:16:07	318461/318461	---MCZ	200	added ('OK')	text/html	etag:W/%225e9eb752-4dbfd%22	https://demo.dashboardpack.com/adminty-html/default/email-inbox.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/default/email-inbox.html	(from https://demo.dashboardpack.com/adminty-html/)
